Label,Value
2013/8/10,4708
2013/8/17,3461
2013/8/24,
2013/8/31,
2013/9/7,
2013/9/14,
2013/9/21,1975111
2013/9/28,
2013/10/5,
2013/10/12,
2013/10/19,9954
2013/10/26,45762
2013/11/2,512807
2013/11/9,183852
2013/11/16,439291
2013/11/23,399453
2013/11/30,1246627
2013/12/7,562546
2013/12/14,618853
2013/12/21,366240
2013/12/28,302153
2014/1/4,725748
2014/1/11,1816399
2014/1/18,1353276
2014/1/25,187544
2014/2/1,455262
2014/2/8,1242951
2014/2/15,195149
2014/2/22,109489
2014/3/1,114275
2014/3/8,108521
2014/3/15,138938
2014/3/22,277050
2014/3/29,215906
2014/4/5,257701
2014/4/12,35331
2014/4/19,150680
2014/4/26,34274
2014/5/3,81174
2014/5/10,21233
2014/5/17,14565
2014/5/24,80436
2014/5/31,64817
2014/6/7,
2014/6/14,241129
2014/6/21,705897
2014/6/28,259362
2014/7/5,168388
2014/7/12,50141
2014/7/19,237093
2014/7/26,706673
2014/8/2,2210508
2014/8/9,524192
2014/8/16,3912284
2014/8/23,48978
2014/8/30,14447
2014/9/6,1023651
2014/9/13,113990
2014/9/20,561515
2014/9/27,27882
2014/10/4,708042
2014/10/11,147063
2014/10/18,25156
2014/10/25,93880
2014/11/1,87314
2014/11/8,207829
2014/11/15,100083
2014/11/22,214208
2014/11/29,
2014/12/6,214494
2014/12/13,
2014/12/20,206509
2014/12/27,113329
2015/1/3,250035
2015/1/10,0
2015/1/17,1077451
2015/1/24,350110
2015/1/31,110018
2015/2/7,74659
2015/2/14,63455
2015/2/21,
2015/2/28,40103
2015/3/7,82114
2015/3/14,
2015/3/21,
2015/3/28,
2015/4/4,72705
2015/4/11,127309
2015/4/18,
2015/4/25,4839
2015/5/2,
2015/5/9,
2015/5/16,35899
2015/5/23,4965
2015/5/30,414984
2015/6/6,34074
2015/6/13,8085
2015/6/20,139832
2015/6/27,14047
2015/7/4,52978
2015/7/11,200884
2015/7/18,169809
2015/7/25,224305
2015/8/1,218874
2015/8/8,85029
2015/8/15,22341
2015/8/22,45170
2015/8/29,335525
2015/9/5,13103
2015/9/12,31414
2015/9/19,30032
2015/9/26,103910
2015/10/3,19867
2015/10/10,
2015/10/17,57297
2015/10/24,103249
2015/10/31,28657
2015/11/7,399071
2015/11/14,5823
2015/11/21,239477
2015/11/28,15030
2015/12/5,108088
2015/12/12,20803
2015/12/19,13204
2015/12/26,20668
2016/1/2,36293
2016/1/9,39276
2016/1/16,99945
2016/1/23,
2016/1/30,
2016/2/6,127980
2016/2/13,2832010
2016/2/20,5540962
2016/2/27,62295
2016/3/5,25081
2016/3/12,
2016/3/19,30118
2016/3/26,3200
2016/4/2,10212
2016/4/9,2220271
2016/4/16,3990
2016/4/23,372468
2016/4/30,25110
2016/5/7,5025
2016/5/14,139887
2016/5/21,61728
2016/5/28,383450
2016/6/4,98527
2016/6/11,
2016/6/18,1556971
2016/6/25,26107
2016/7/2,9736
2016/7/9,19945
2016/7/16,45274
2016/7/23,147227
2016/7/30,
2016/8/6,
2016/8/13,1077973
2016/8/20,0
2016/8/27,92714
2016/9/3,29571
2016/9/10,
2016/9/17,25100
2016/9/24,359870
2016/10/1,188153
2016/10/8,512140
2016/10/15,228124
2016/10/22,353124
2016/10/29,118540
2016/11/5,1184661
2016/11/12,1252438
2016/11/19,455528
2016/11/26,186785
2016/12/3,624975
2016/12/10,615077
2016/12/17,378688
2016/12/24,135351
2016/12/31,767347
2017/1/7,657422
2017/1/14,1264865
2017/1/21,690524
2017/1/28,570430
2017/2/4,1027157
2017/2/11,508128
2017/2/18,956643
2017/2/25,3793931
2017/3/4,423184
2017/3/11,190030
2017/3/18,714596
2017/3/25,484027
2017/4/1,289786
2017/4/8,525954
2017/4/15,172909
2017/4/22,1615122
2017/4/29,484639
2017/5/6,397541
2017/5/13,530257
2017/5/20,1367574
2017/5/27,941368
2017/6/3,1547053
2017/6/10,571050
2017/6/17,541622
2017/6/24,4758070
2017/7/1,593074
2017/7/8,976000
2017/7/15,1522798
2017/7/22,1829254
2017/7/29,582000
2017/8/5,1244624
2017/8/12,1746793
2017/8/19,4060121
2017/8/26,743249
2017/9/2,1074379
2017/9/9,1039187
2017/9/16,1897394
2017/9/23,1187547
2017/9/30,554033
2017/10/7,77922
2017/10/14,788850
2017/10/21,2242615
2017/10/28,91500
2017/11/4,289750
2017/11/11,1524800
2017/11/18,520020
2017/11/25,322740
2017/12/2,584748
2017/12/9,1289726
2017/12/16,804960
2017/12/23,4176309
2017/12/30,319084
2018/1/6,507293
2018/1/13,1122099
2018/1/20,697500
2018/1/27,237740
2018/2/3,1231915
2018/2/10,3281374
2018/2/17,3190750
2018/2/24,3844273
2018/3/3,328983
2018/3/10,254853
2018/3/17,1417500
2018/3/24,498204
2018/3/31,79500
2018/4/7,1253641
2018/4/14,1072277
2018/4/21,1563351
2018/4/28,761939
2018/5/5,347783
2018/5/12,37050
2018/5/19,1934038
2018/5/26,1690079
2018/6/2,1452244
2018/6/9,876504
2018/6/16,1523728
2018/6/23,1656512
2018/6/30,2087605
2018/7/7,2017868
2018/7/14,1361690
2018/7/21,956517
2018/7/28,1587092
2018/8/4,869742
2018/8/11,419955
2018/8/18,962245
2018/8/25,1608510
2018/9/1,469301
2018/9/8,602279
2018/9/15,1137836
2018/9/22,2296261
2018/9/29,1722793
2018/10/6,1925035
2018/10/13,2887082
2018/10/20,5662707
2018/10/27,2497773
2018/11/3,1544316
2018/11/10,1003887
2018/11/17,2121162
2018/11/24,191072
2018/12/1,1236818
2018/12/8,1132421
2018/12/15,1432915
2018/12/22,1131984
2018/12/29,976509
2019/1/5,754548
2019/1/12,819055
2019/1/19,794261
2019/1/26,1029280
2019/2/2,1171556
2019/2/9,1721183
2019/2/16,1618306
2019/2/23,1153124
2019/3/2,1811242
